Generic Name,SMILES,SMILES (InChI Key),Confidence,Permeability Class,Papp (*10E-6 cm/s)
TG(15:0/24:1(15Z)/18:1(9Z)),CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCC,HUPZHZLPCVHVKU-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.650314253
"TG(15:0/18:2(9Z,12Z)/24:0)",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCCCC,ZEBWOWFWNJDSCC-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.650314253
"TG(24:0/15:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,LDPBQRWCJACJSJ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.650314253
TG(18:1(9Z)/15:0/24:1(15Z)),CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCC,CQHBNHZPQMAQRQ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.650314253
TG(20:1(11Z)/15:0/22:1(13Z)),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCC,BHMNYQXXBGBVQM-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.650314253
TG(14:0/14:0/4:0),CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC)OC(=O)CCCCCCCCCCCCC,CPUBTQNPGNMTLT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
TG(16:0/10:0/6:0),CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCCCCCC,QKLBUEWDUVXZCS-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
TG(16:0/12:0/4:0),CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC)OC(=O)CCCCCCCCCCC,DNRWLLOQTTWJKS-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
TG(10:0/16:0/6:0),CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC)COC(=O)CCCCCCCCC,CBCAPZYHHAJWQD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
TG(6:0/12:0/14:0),CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCCCCCCCC,XTWZFTFRQTXTLI-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
TG(4:0/14:0/15:0),CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC)OC(=O)CCCCCCCCCCCCC,JMGKZUFRLWPSBP-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.630773209
N-Formyl-L-methionine,CSCC[C@@H](NC=O)C(=O)O,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.592234262
Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.570162619
L-Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.533434722
L-Alloisoleucine,CC[C@@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.533434722
L-Valine,CC(C)[C@H](N)C(=O)O,KZSNJWFQEVHDMF-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.533434722
Homocysteine,NC(CCS)C(=O)O,FFFHZYDWPBMWHY-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.528770459
L-Alpha-aminobutyric acid,CC[C@H](N)C(=O)O,QWCKQJZIFLGMSD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.48106266
D-Alpha-aminobutyric acid,CC[C@@H](N)C(=O)O,QWCKQJZIFLGMSD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.48106266
Biotin,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,YBJHBAHKTGYVGT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.474262806
Tyramine,NCCC1=CC=C(O)C=C1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.459079511
"TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,IBSUTTNKAUSOHR-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(18:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,PJHDLKOEJMDTBE-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC,SZYBCITYDACFEY-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso3]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,JTMWOTXEVWLTTO-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(12:0/20:0/22:4(7Z,10Z,13Z,16Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,RKORFIGATZMSDF-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(12:0/20:4(5Z,8Z,11Z,14Z)/22:0)[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,MGQMGGUWTIFWOC-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(13:0/19:0/22:4(7Z,10Z,13Z,16Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,XXRRJDZBDOTZKQ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(13:0/20:4(5Z,8Z,11Z,14Z)/21:0)[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCC,KXKPOODGHPGHKT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:0/18:0/22:4(7Z,10Z,13Z,16Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,XEOFILXSSITART-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:0)[iso6]",CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,ADDMBQHEJRQEPO-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CC=CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,XJKXBTKTOXZQFL-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,PEGBVZIRKWFBAT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:0/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,NEUKLKKOFRWHDB-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:1(9Z)/18:3(6Z,9Z,12Z)/22:0)[iso6]",CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC,OOXHPYMTHPKODA-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:1(9Z)/18:3(9Z,12Z,15Z)/22:0)[iso6]",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,QEYIHHBEALJAPR-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:1(9Z)/20:0/20:3(8Z,11Z,14Z))[iso6]",CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,AUEYCFPJLUPBLD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(14:1(9Z)/20:1(11Z)/20:2(11Z,14Z))[iso6]",CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,BGODCVGWEBYLGN-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(15:0/17:0/22:4(7Z,10Z,13Z,16Z))[iso6]",CCCCC/C=C\CC=CC/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,WIYNEVGMEDLXJC-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(15:0/18:4(6Z,9Z,12Z,15Z)/21:0)[iso6]",CCC=CC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCC,LNPZFXQJIKGHQU-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(15:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,RFIMOUDBNYZGQQ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso3]",CCCCC/C=C\CC=CC/C=C\CC=CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,MZUGAQXXWDXZIR-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/18:1(9Z)/20:3(8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,XSESJUIKHHMUIV-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,BAJHYMHNWFZWKC-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/18:3(6Z,9Z,12Z)/20:1(11Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,ATZQIXHEMLCJGM-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/18:3(9Z,12Z,15Z)/20:1(11Z))[iso6]",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,PDTAQKYFJJGDCD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:0/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6]",CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,PDFFYHNLAKMFAW-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:1(9Z)/18:0/20:3(8Z,11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,WXMJAPVKXZKBEF-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:1(9Z)/18:1(9Z)/20:2(11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,ONYOXARKNBCDOW-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:0)[iso6]",CCCCCC=CC/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,CDDMLDFHOOIDDR-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(16:1(9Z)/18:3(9Z,12Z,15Z)/20:0)[iso6]",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,HLTSKBNGPCVUQB-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(17:0/17:0/20:4(5Z,8Z,11Z,14Z))[iso3]",CCCCC/C=C\C/C=C\CC=CC/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,HFMQRBDGAXXEPX-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(17:0/18:4(6Z,9Z,12Z,15Z)/19:0)[iso6]",CCC=CC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCC,FPVCQWQOFRSFDA-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(18:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso3]",CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,QDQDETHJEUGTEX-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(18:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6]",CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,JOJVDNJANFYSHZ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
"TG(18:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6]",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,BRLGHZXETDWABO-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.434398104
TG(16:0/18:0/20:0)[iso6],CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,DHDAMQPBPJWJEI-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:0/18:1(9Z)/20:1(11Z))[iso6],CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,FPUBLSPUCGHELU-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(16:0/18:2(9Z,12Z)/20:0)[iso6]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,KWUMWJZHUAQZMT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(18:0/18:0/18:0),CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,DCXXMTOCNZCJGO-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(18:0/18:0/18:1(9Z))[iso3],CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,YFFIQXNTTVSKJC-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(18:0/18:0/18:2(9Z,12Z))[iso3]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,ABFJWRKPWCFTQP-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(18:0/18:1(9Z)/18:1(9Z))[iso3],CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,RYNHWWNZNIGDAQ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:1(9Z)/18:0/20:1(11Z))[iso6],CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,MMEBJAFEPYJMGH-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:1(9Z)/18:1(9Z)/20:0)[iso6],CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,INYBBHQUSIBINH-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(15:0/22:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC,SNCWETBQRMVHOV-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(15:0/16:1(9Z)/24:1(15Z)),CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,KZBGDZPDUHOLLM-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(15:0/18:1(9Z)/22:1(13Z)),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,OIKZZWRYPFNHCD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(15:0/20:1(11Z)/20:1(11Z)),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,WGECLQCBWONQQW-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(15:0/22:1(13Z)/18:1(9Z)),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCC,AZDRPNZSLUOCOF-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(15:0/24:1(15Z)/16:1(9Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,VECBQPDNQCMGKZ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(15:0/18:2(9Z,12Z)/22:0)",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,AMDVCDGQSHKXKJ-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(22:0/15:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,TZSOCBSSQBBTSS-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:1(9Z)/15:0/24:1(15Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCC,BIVVWXVYGHOKIM-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(18:1(9Z)/15:0/22:1(13Z)),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCC,WDEQRGGWWPURTM-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(20:1(11Z)/15:0/20:1(11Z)),CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCC,PWOMLGILNAAXBL-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(12:0/20:2(11Z,14Z)/22:0)[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,ZYUCRKVOUJUNFA-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(13:0/20:2(11Z,14Z)/21:0)[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCC,DVXHSMSOPLCBJA-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(14:0/18:2(9Z,12Z)/22:0)[iso6]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,WUUWGORPQFKFQN-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(14:0/20:0/20:2(11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,OZJZLHIZXUGMED-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(14:0/20:1(11Z)/20:1(11Z))[iso3],CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,DQXHESFTNHULCI-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(14:1(9Z)/18:1(9Z)/22:0)[iso6],CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,XQGOXUBPPLKVPV-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(14:1(9Z)/20:0/20:1(11Z))[iso6],CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,SSHQULTWICGVDD-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(15:0/18:2(9Z,12Z)/21:0)[iso6]",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCC,PZCDMYGPUPHCML-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(15:0/19:0/20:2(11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,DIEUHKAOXWVENP-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:0/16:1(9Z)/22:1(13Z))[iso6],CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,FNTIMIABTDJKKH-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
"TG(16:0/18:0/20:2(11Z,14Z))[iso6]",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,IVNMDNGRUSIGST-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
TG(16:1(9Z)/16:1(9Z)/22:0)[iso3],CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC,GOLXXQRKCMOJGT-UHFFFAOYSA-N,HIGH CONFIDENCE,Low permeability,8.424472074
